"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 08 02:41:56 UTC 2023","Fri Dec 08 02:41:56 UTC 2023","547","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Dec 08 02:44:08 UTC 2023","Fri Dec 08 02:44:28 UTC 2023","20620","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Dec 08 02:58:13 UTC 2023","Fri Dec 08 02:58:27 UTC 2023","14679","","9. Client Portal - Home","","","","1. Check links",""
"passed","Fri Dec 08 02:46:53 UTC 2023","Fri Dec 08 02:47:51 UTC 2023","57384","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Dec 08 03:31:06 UTC 2023","Fri Dec 08 03:31:16 UTC 2023","10487","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Fri Dec 08 04:27:18 UTC 2023","Fri Dec 08 04:27:41 UTC 2023","23327","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Fri Dec 08 03:41:09 UTC 2023","Fri Dec 08 03:41:25 UTC 2023","15398","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Fri Dec 08 03:23:27 UTC 2023","Fri Dec 08 03:23:47 UTC 2023","19791","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Fri Dec 08 04:27:43 UTC 2023","Fri Dec 08 04:28:24 UTC 2023","40782","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Fri Dec 08 02:28:56 UTC 2023","Fri Dec 08 02:29:20 UTC 2023","24160","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Fri Dec 08 02:41:40 UTC 2023","Fri Dec 08 02:41:52 UTC 2023","12042","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Fri Dec 08 03:49:53 UTC 2023","Fri Dec 08 03:50:00 UTC 2023","6809","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Dec 08 02:36:08 UTC 2023","Fri Dec 08 02:36:15 UTC 2023","7028","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Dec 08 02:53:24 UTC 2023","Fri Dec 08 02:53:27 UTC 2023","2837","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Fri Dec 08 03:37:38 UTC 2023","Fri Dec 08 03:37:40 UTC 2023","1895","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Dec 08 03:25:31 UTC 2023","Fri Dec 08 03:25:36 UTC 2023","4814","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Fri Dec 08 04:24:43 UTC 2023","Fri Dec 08 04:25:03 UTC 2023","20158","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Fri Dec 08 02:32:17 UTC 2023","Fri Dec 08 02:33:17 UTC 2023","59881","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Fri Dec 08 04:26:05 UTC 2023","Fri Dec 08 04:27:14 UTC 2023","69320","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Fri Dec 08 02:29:20 UTC 2023","Fri Dec 08 02:29:42 UTC 2023","21237","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Fri Dec 08 03:20:09 UTC 2023","Fri Dec 08 03:20:09 UTC 2023","271","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Fri Dec 08 02:35:41 UTC 2023","Fri Dec 08 02:35:46 UTC 2023","5752","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Dec 08 02:36:15 UTC 2023","Fri Dec 08 02:36:22 UTC 2023","7231","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Fri Dec 08 04:28:24 UTC 2023","Fri Dec 08 04:29:35 UTC 2023","70583","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Fri Dec 08 02:37:40 UTC 2023","Fri Dec 08 02:37:49 UTC 2023","9268","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Fri Dec 08 02:53:13 UTC 2023","Fri Dec 08 02:53:24 UTC 2023","10817","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Fri Dec 08 02:37:49 UTC 2023","Fri Dec 08 02:37:50 UTC 2023","552","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Dec 08 03:23:27 UTC 2023","Fri Dec 08 03:23:27 UTC 2023","260","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Fri Dec 08 02:40:01 UTC 2023","Fri Dec 08 02:40:22 UTC 2023","20786","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Dec 08 03:20:50 UTC 2023","Fri Dec 08 03:21:01 UTC 2023","11232","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Dec 08 02:44:28 UTC 2023","Fri Dec 08 02:44:36 UTC 2023","7115","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Dec 08 03:20:48 UTC 2023","Fri Dec 08 03:20:50 UTC 2023","1280","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri Dec 08 04:25:33 UTC 2023","Fri Dec 08 04:25:38 UTC 2023","5246","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Fri Dec 08 04:36:20 UTC 2023","Fri Dec 08 04:36:23 UTC 2023","2506","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Dec 08 03:36:46 UTC 2023","Fri Dec 08 03:36:58 UTC 2023","11189","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Fri Dec 08 02:50:44 UTC 2023","Fri Dec 08 02:50:46 UTC 2023","2462","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Dec 08 03:36:58 UTC 2023","Fri Dec 08 03:37:01 UTC 2023","3825","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Fri Dec 08 02:30:19 UTC 2023","Fri Dec 08 02:30:44 UTC 2023","25579","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Fri Dec 08 03:50:12 UTC 2023","Fri Dec 08 03:50:13 UTC 2023","948","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Fri Dec 08 03:31:16 UTC 2023","Fri Dec 08 03:31:20 UTC 2023","3244","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Dec 08 02:46:46 UTC 2023","Fri Dec 08 02:46:50 UTC 2023","4206","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Dec 08 02:50:27 UTC 2023","Fri Dec 08 02:50:31 UTC 2023","4101","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Dec 08 03:47:41 UTC 2023","Fri Dec 08 03:47:54 UTC 2023","13823","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Dec 08 02:52:46 UTC 2023","Fri Dec 08 02:53:01 UTC 2023","15396","","6. Company Account","","","","1. Validate login credentials",""
"passed","Fri Dec 08 03:37:09 UTC 2023","Fri Dec 08 03:37:12 UTC 2023","2651","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Fri Dec 08 03:25:15 UTC 2023","Fri Dec 08 03:25:29 UTC 2023","14079","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Fri Dec 08 03:37:06 UTC 2023","Fri Dec 08 03:37:09 UTC 2023","2853","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Dec 08 02:53:48 UTC 2023","Fri Dec 08 02:53:51 UTC 2023","2400","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Dec 08 04:36:23 UTC 2023","Fri Dec 08 04:36:26 UTC 2023","2962","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Dec 08 04:36:34 UTC 2023","Fri Dec 08 04:36:56 UTC 2023","22179","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Dec 08 02:45:45 UTC 2023","Fri Dec 08 02:45:50 UTC 2023","4441","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Dec 08 04:27:15 UTC 2023","Fri Dec 08 04:27:18 UTC 2023","3467","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Fri Dec 08 03:19:57 UTC 2023","Fri Dec 08 03:20:08 UTC 2023","11533","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Dec 08 02:50:46 UTC 2023","Fri Dec 08 02:51:08 UTC 2023","21744","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Fri Dec 08 03:48:06 UTC 2023","Fri Dec 08 03:48:11 UTC 2023","4353","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Dec 08 03:50:00 UTC 2023","Fri Dec 08 03:50:00 UTC 2023","312","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Fri Dec 08 03:20:46 UTC 2023","Fri Dec 08 03:20:48 UTC 2023","2286","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Fri Dec 08 03:47:55 UTC 2023","Fri Dec 08 03:48:04 UTC 2023","9555","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Fri Dec 08 02:43:38 UTC 2023","Fri Dec 08 02:43:54 UTC 2023","15905","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Dec 08 02:47:51 UTC 2023","Fri Dec 08 02:47:54 UTC 2023","2899","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Fri Dec 08 03:50:11 UTC 2023","Fri Dec 08 03:50:12 UTC 2023","941","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Dec 08 02:50:12 UTC 2023","Fri Dec 08 02:50:16 UTC 2023","4725","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Dec 08 02:46:44 UTC 2023","Fri Dec 08 02:46:46 UTC 2023","1463","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Fri Dec 08 03:21:01 UTC 2023","Fri Dec 08 03:21:02 UTC 2023","760","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"skipped","Fri Dec 08 02:28:56 UTC 2023","Fri Dec 08 02:28:56 UTC 2023","3","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Fri Dec 08 03:23:24 UTC 2023","Fri Dec 08 03:23:27 UTC 2023","2543","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Dec 08 02:28:13 UTC 2023","Fri Dec 08 02:28:32 UTC 2023","19657","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Dec 08 02:53:37 UTC 2023","Fri Dec 08 02:53:39 UTC 2023","2029","","6. Company Account","","","","6. Review Review Page",""
"passed","Fri Dec 08 03:34:34 UTC 2023","Fri Dec 08 03:35:15 UTC 2023","41487","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Fri Dec 08 03:37:15 UTC 2023","Fri Dec 08 03:37:27 UTC 2023","12496","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Fri Dec 08 04:36:26 UTC 2023","Fri Dec 08 04:36:34 UTC 2023","7923","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Dec 08 02:51:11 UTC 2023","Fri Dec 08 02:51:12 UTC 2023","389","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Dec 08 04:26:02 UTC 2023","Fri Dec 08 04:26:05 UTC 2023","3113","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Fri Dec 08 03:51:46 UTC 2023","Fri Dec 08 03:52:06 UTC 2023","19442","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Dec 08 04:36:56 UTC 2023","Fri Dec 08 04:36:57 UTC 2023","1352","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Fri Dec 08 04:24:05 UTC 2023","Fri Dec 08 04:24:19 UTC 2023","13726","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Fri Dec 08 04:24:43 UTC 2023","Fri Dec 08 04:24:43 UTC 2023","17","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Fri Dec 08 02:40:22 UTC 2023","Fri Dec 08 02:40:30 UTC 2023","7901","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Dec 08 02:45:50 UTC 2023","Fri Dec 08 02:46:44 UTC 2023","54457","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Fri Dec 08 02:28:33 UTC 2023","Fri Dec 08 02:28:56 UTC 2023","23715","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Fri Dec 08 04:25:03 UTC 2023","Fri Dec 08 04:25:29 UTC 2023","26097","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Fri Dec 08 03:25:36 UTC 2023","Fri Dec 08 03:25:37 UTC 2023","1352","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Fri Dec 08 02:46:50 UTC 2023","Fri Dec 08 02:46:53 UTC 2023","3111","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
